,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,红球号码_7,红球号码_8,红球号码_9,红球号码_10,红球号码_11,红球号码_12,红球号码_13
3954,20220123097,1,4,4,1,16,12,14,8,14,13,11,12,10
3955,20220123096,2,4,4,2,14,13,11,12,16,13,13,10,9
3956,20220123095,4,4,4,1,17,14,13,11,13,13,10,13,11
3957,20220123094,1,4,4,1,17,16,11,15,13,12,11,11,8
3958,20220123093,2,4,4,2,13,12,11,11,17,12,15,7,5
3959,20220123092,1,4,4,3,15,11,14,7,15,13,12,11,2
3960,20220123091,2,4,4,2,12,11,11,10,18,14,14,10,13
3961,20220123090,1,4,4,1,16,12,14,8,14,14,10,14,10
3962,20220123089,4,4,4,2,14,12,12,10,16,12,14,8,6
3963,20220123088,1,4,4,2,14,11,13,8,16,13,13,10,3
3964,20220123087,2,4,4,2,13,12,11,11,17,15,12,13,11
3965,20220123086,1,4,4,1,18,12,16,6,12,11,11,10,3
3966,20220123085,2,4,4,2,13,13,10,13,17,12,15,7,7
3967,20220123084,1,1,4,1,16,12,14,8,14,13,11,12,10
3968,20220123083,1,4,4,2,14,12,12,10,16,12,14,8,6
3969,20220123082,2,2,4,2,11,11,10,11,19,16,13,13,11
3970,20220123081,2,4,4,2,14,11,13,8,16,16,10,16,10
3971,20220123080,1,4,4,3,15,12,13,9,15,13,12,11,10
3972,20220123079,2,4,4,2,12,11,11,10,18,14,14,10,13
3973,20220123078,4,4,4,1,17,12,15,7,13,13,10,13,10
3974,20220123077,1,1,4,1,17,15,12,13,13,11,12,9,7
3975,20220123076,1,4,4,3,15,14,11,13,15,12,13,9,7
3976,20220123075,2,2,4,2,12,12,10,12,18,15,13,12,11
3977,20220123074,2,4,4,2,13,11,12,9,17,16,11,15,10
3978,20220123073,1,1,4,1,19,12,17,5,11,10,11,9,1
3979,20220123072,1,4,4,1,16,15,11,14,14,10,14,6,7
3980,20220123071,2,2,4,2,13,12,11,11,17,13,14,9,7
3981,20220123070,2,4,4,2,14,12,12,10,16,15,11,14,12
3982,20220123069,4,4,4,1,16,12,14,8,14,12,12,10,3
3983,20220123068,1,1,4,1,16,14,12,12,14,12,12,10,9
3984,20220123067,1,4,4,3,15,13,12,11,15,12,13,9,7
3985,20220123066,2,4,4,2,13,12,11,11,17,14,13,11,11
3986,20220123065,4,4,4,3,15,11,14,7,15,13,12,11,2
3987,20220123064,1,4,4,3,15,13,12,11,15,13,12,11,11
3988,20220123063,2,2,2,2,14,13,11,12,16,14,12,12,11
3989,20220123062,2,2,4,3,15,11,14,7,15,12,13,9,1
3990,20220123061,2,4,4,1,16,13,13,10,14,12,12,10,13
3991,20220123060,1,1,1,1,18,16,12,14,12,12,10,12,8
3992,20220123059,1,1,4,1,16,15,11,14,14,11,13,8,7
3993,20220123058,1,4,4,3,15,13,12,11,15,12,13,9,7
3994,20220123057,2,4,4,2,12,12,10,12,18,15,13,12,11
3995,20220123056,1,4,4,3,15,11,14,7,15,14,11,13,10
3996,20220123055,2,2,4,2,14,13,11,12,16,14,12,12,11
3997,20220123054,2,4,4,3,15,12,13,9,15,13,12,11,10
3998,20220123053,1,1,4,1,17,14,13,11,13,12,11,11,11
3999,20220123052,1,4,4,3,15,14,11,13,15,12,13,9,7
4000,20220123051,2,4,4,2,12,12,10,12,18,15,13,12,11
4001,20220123050,4,4,4,2,14,10,14,6,16,14,12,12,2
4002,20220123049,4,4,4,2,14,11,13,8,16,13,13,10,3
4003,20220123048,2,4,4,2,14,12,12,10,16,14,12,12,12
4004,20220123047,1,4,4,3,15,12,13,9,15,13,12,11,10
4005,20220123046,2,2,4,2,13,13,10,13,17,15,12,13,11
4006,20220123045,2,4,4,2,14,11,13,8,16,14,12,12,10
4007,20220123044,1,1,4,1,16,13,13,10,14,13,11,12,12
4008,20220123043,1,4,4,2,13,11,12,9,17,12,15,7,4
4009,20220123042,2,2,2,2,11,10,11,9,19,16,13,13,10
4010,20220123041,2,2,4,2,14,10,14,6,16,15,11,14,10
4011,20220123040,2,4,4,3,15,11,14,7,15,12,13,9,1
4012,20220123039,1,1,4,1,17,13,14,9,13,11,12,9,4
4013,20220123038,1,4,4,3,15,13,12,11,15,11,14,7,5
4014,20220123037,2,4,4,2,13,12,11,11,17,14,13,11,11
4015,20220123036,1,4,4,1,18,13,15,8,12,12,10,12,10
4016,20220123035,2,2,4,2,13,12,11,11,17,11,16,5,5
4017,20220123034,2,4,4,3,15,12,13,9,15,14,11,13,10
4018,20220123033,4,4,4,1,16,13,13,10,14,12,12,10,13
4019,20220123032,1,4,4,1,16,13,13,10,14,11,13,8,6
4020,20220123031,2,4,4,2,13,11,12,9,17,12,15,7,4
4021,20220123030,1,4,4,3,15,12,13,9,15,14,11,13,10
4022,20220123029,4,4,4,2,14,13,11,12,16,14,12,12,11
4023,20220123028,2,4,4,2,14,13,11,12,16,15,11,14,11
4024,20220123027,1,1,4,1,16,12,14,8,14,12,12,10,3
4025,20220123026,1,4,4,2,14,13,11,12,16,13,13,10,9
4026,20220123025,2,2,4,2,13,11,12,9,17,14,13,11,10
4027,20220123024,2,4,4,3,15,11,14,7,15,13,12,11,2
4028,20220123023,4,4,4,1,16,14,12,12,14,13,11,12,11
4029,20220123022,2,4,4,1,16,15,11,14,14,13,11,12,8
4030,20220123021,1,1,4,1,19,15,14,11,11,10,11,9,7
4031,20220123020,1,4,4,1,17,16,11,15,13,10,13,7,7
4032,20220123019,4,4,4,1,16,15,11,14,14,12,12,10,9
4033,20220123018,1,1,4,1,16,13,13,10,14,11,13,8,6
4034,20220123017,1,4,4,2,14,12,12,10,16,12,14,8,6
4035,20220123016,2,2,4,2,12,11,11,10,18,15,13,12,12
4036,20220123015,2,4,4,2,13,10,13,7,17,15,12,13,10
4037,20220123014,4,4,4,2,14,10,14,6,16,13,13,10,3
4038,20220123013,2,4,4,2,14,12,12,10,16,14,12,12,12
4039,20220123012,1,4,4,1,16,13,13,10,14,13,11,12,12
4040,20220123011,2,4,4,2,14,12,12,10,16,12,14,8,6
4041,20220123010,1,1,4,1,17,13,14,9,13,12,11,11,10
4042,20220123009,1,4,4,2,14,14,10,14,16,13,13,10,9
4043,20220123008,2,4,4,2,13,12,11,11,17,15,12,13,11
4044,20220123007,1,1,4,1,17,13,14,9,13,13,10,13,10
4045,20220123006,1,4,4,3,15,14,11,13,15,12,13,9,7
4046,20220123005,2,2,4,2,14,11,13,8,16,12,14,8,4
4047,20220123004,2,4,4,3,15,12,13,9,15,13,12,11,10
4048,20220124179,2,2,2,2,13,13,10,13,17,12,15,7,7
4049,20220124178,2,2,4,3,15,12,13,9,15,14,11,13,10
4050,20220124177,2,4,4,1,16,13,13,10,14,12,12,10,13
4051,20220124176,1,4,4,1,17,14,13,11,13,11,12,9,7
4052,20220124175,4,4,4,1,16,14,12,12,14,11,13,8,7
4053,20220124174,4,4,4,1,16,13,13,10,14,11,13,8,6
4054,20220124173,1,1,4,1,16,15,11,14,14,13,11,12,8
4055,20220124172,1,4,4,2,14,12,12,10,16,12,14,8,6
4056,20220124171,2,2,4,2,12,11,11,10,18,15,13,12,12
4057,20220124170,2,4,4,2,14,11,13,8,16,15,11,14,10
4058,20220124169,1,4,4,1,16,12,14,8,14,12,12,10,3
4059,20220124168,2,2,4,2,13,12,11,11,17,13,14,9,7
4060,20220124167,2,4,4,3,15,11,14,7,15,13,12,11,2
4061,20220124166,1,4,4,1,16,13,13,10,14,12,12,10,13
4062,20220124165,2,4,4,2,14,12,12,10,16,12,14,8,6
4063,20220124164,1,4,4,1,17,12,15,7,13,11,12,9,1
4064,20220124163,2,2,4,2,13,13,10,13,17,13,14,9,7
4065,20220124162,2,4,4,3,15,12,13,9,15,14,11,13,10
4066,20220124161,1,1,4,1,17,13,14,9,13,11,12,9,4
4067,20220124160,1,4,4,2,14,13,11,12,16,12,14,8,7
4068,20220124159,2,4,4,2,13,11,12,9,17,14,13,11,10
4069,20220124158,4,4,4,3,15,11,14,7,15,13,12,11,2
4070,20220124157,2,4,4,3,15,13,12,11,15,13,12,11,11
4071,20220124156,1,4,4,1,16,12,14,8,14,11,13,8,4
4072,20220124155,2,4,4,2,12,10,12,8,18,12,16,6,4
4073,20220124154,1,1,4,1,18,12,16,6,12,12,10,12,2
4074,20220124153,1,4,4,3,15,14,11,13,15,11,14,7,7
4075,20220124152,2,4,4,2,12,11,11,10,18,14,14,10,13
4076,20220124151,1,4,4,1,17,12,15,7,13,13,10,13,10
4077,20220124150,2,4,4,2,14,12,12,10,16,11,15,6,6
4078,20220124149,1,1,4,1,16,13,13,10,14,13,11,12,12
4079,20220124148,1,4,4,3,15,12,13,9,15,11,14,7,4
4080,20220124147,2,4,4,2,14,13,11,12,16,14,12,12,11
4081,20220124146,1,4,4,3,15,14,11,13,15,15,10,15,11
4082,20220124145,4,4,4,2,14,12,12,10,16,13,13,10,13
4083,20220124144,4,4,4,2,14,12,12,10,16,14,12,12,12
4084,20220124143,1,4,4,2,14,12,12,10,16,14,12,12,12
4085,20220124142,2,4,4,2,13,12,11,11,17,15,12,13,11
4086,20220124141,1,4,4,1,16,11,15,6,14,12,12,10,3
4087,20220124140,2,4,4,2,14,13,11,12,16,13,13,10,9
4088,20220124139,1,4,4,1,17,14,13,11,13,13,10,13,11
4089,20220124138,2,4,4,2,12,12,10,12,18,13,15,8,7
4090,20220124137,1,4,4,1,16,11,15,6,14,13,11,12,2
4091,20220124136,4,4,4,3,15,12,13,9,15,11,14,7,4
4092,20220124135,1,4,4,3,15,12,13,9,15,12,13,9,4
4093,20220124134,2,4,4,2,13,10,13,7,17,12,15,7,4
4094,20220124133,4,4,4,1,16,11,15,6,14,12,12,10,3
4095,20220124132,1,4,4,1,16,15,11,14,14,13,11,12,8
4096,20220124131,2,4,4,2,12,12,10,12,18,14,14,10,9
4097,20220124130,1,4,4,3,15,11,14,7,15,14,11,13,10
4098,20220124129,2,4,4,2,12,11,11,10,18,14,14,10,13
4099,20220124128,1,4,4,3,15,11,14,7,15,14,11,13,10
4100,20220124127,2,4,4,2,13,11,12,9,17,13,14,9,4
4101,20220124126,1,4,4,1,17,11,16,5,13,11,12,9,1
4102,20220124125,4,4,4,3,15,13,12,11,15,11,14,7,5
4103,20220124124,4,4,4,3,15,12,13,9,15,12,13,9,4
4104,20220124123,2,4,4,3,15,12,13,9,15,12,13,9,4
4105,20220124122,1,4,4,1,16,12,14,8,14,11,13,8,4
4106,20220124121,2,4,4,2,14,12,12,10,16,12,14,8,6
4107,20220124120,1,1,4,1,18,14,14,10,12,12,10,12,12
4108,20220124119,1,4,4,1,16,14,12,12,14,10,14,6,5
4109,20220124118,2,4,4,2,14,12,12,10,16,12,14,8,6
4110,20220124117,1,1,4,1,16,13,13,10,14,13,11,12,12
4111,20220124116,1,4,4,3,15,13,12,11,15,12,13,9,7
4112,20220124115,2,4,4,2,13,12,11,11,17,14,13,11,11
4113,20220124114,1,4,4,1,16,11,15,6,14,12,12,10,3
4114,20220124113,2,4,4,2,14,13,11,12,16,13,13,10,9
4115,20220124112,1,4,4,3,15,12,13,9,15,13,12,11,10
4116,20220124111,4,4,4,2,14,11,13,8,16,12,14,8,4
4117,20220124110,2,4,4,2,14,11,13,8,16,13,13,10,3
4118,20220124109,1,4,4,1,17,14,13,11,13,13,10,13,11
4119,20220124108,2,4,4,2,14,12,12,10,16,11,15,6,6
4120,20220124107,1,4,4,1,16,12,14,8,14,12,12,10,3
4121,20220124106,2,4,4,2,14,12,12,10,16,12,14,8,6
4122,20220124105,1,4,4,1,16,13,13,10,14,13,11,12,12
4123,20220124104,2,4,4,2,14,13,11,12,16,13,13,10,9
4124,20220124103,4,4,4,3,15,12,13,9,15,13,12,11,10
4125,20220124102,4,4,4,3,15,13,12,11,15,13,12,11,11
4126,20220124101,2,4,4,3,15,13,12,11,15,13,12,11,11
4127,20220124100,1,4,4,1,16,13,13,10,14,12,12,10,13
4128,20220124099,4,4,4,2,14,13,11,12,16,13,13,10,9
4129,20220124098,2,4,4,2,14,11,13,8,16,13,13,10,3
4130,20220124097,1,4,4,1,18,14,14,10,12,12,10,12,12
4131,20220124096,4,4,4,3,15,15,10,15,15,12,13,9,7
4132,20220124095,2,4,4,3,15,12,13,9,15,12,13,9,4
4133,20220124094,1,4,4,1,17,15,12,13,13,13,10,13,11
4134,20220124093,2,4,4,3,15,13,12,11,15,11,14,7,5
4135,20220124092,4,4,4,1,18,14,14,10,12,11,11,10,13
4136,20220124091,1,4,4,1,18,16,12,14,12,10,12,8,7
4137,20220124090,2,4,4,2,14,14,10,14,16,12,14,8,7
4138,20220124089,4,4,4,1,16,12,14,8,14,12,12,10,3
4139,20220124088,1,4,4,1,16,13,13,10,14,11,13,8,6
4140,20220124087,2,4,4,3,15,14,11,13,15,13,12,11,8
4141,20220124086,1,1,4,1,18,13,15,8,12,10,12,8,4
4142,20220124085,1,4,4,3,15,14,11,13,15,11,14,7,7
4143,20220124084,2,4,4,2,13,13,10,13,17,15,12,13,11
4144,20220124083,1,4,4,3,15,11,14,7,15,13,12,11,2
4145,20220124082,4,4,4,2,14,14,10,14,16,15,11,14,11
4146,20220124081,2,2,4,2,14,11,13,8,16,13,13,10,3
4147,20220124080,2,4,4,1,16,12,14,8,14,12,12,10,3
4148,20220124079,1,4,4,1,17,14,13,11,13,11,12,9,7
4149,20220124078,4,4,4,3,15,15,10,15,15,13,12,11,8
4150,20220124077,4,4,4,3,15,12,13,9,15,12,13,9,4
4151,20220124076,2,4,4,3,15,12,13,9,15,12,13,9,4
4152,20220124075,1,4,4,1,18,14,14,10,12,11,11,10,13
4153,20220124074,4,4,4,2,14,13,11,12,16,11,15,6,5
4154,20220124073,1,4,4,2,14,12,12,10,16,14,12,12,12
4155,20220124072,2,4,4,2,13,11,12,9,17,14,13,11,10
4156,20220124071,1,4,4,3,15,12,13,9,15,14,11,13,10
4157,20220124070,2,2,4,2,14,11,13,8,16,12,14,8,4
4158,20220124069,2,4,4,3,15,12,13,9,15,13,12,11,10
4159,20220124068,1,1,4,1,19,15,14,11,11,11,10,11,11
4160,20220124067,1,4,4,1,17,16,11,15,13,10,13,7,7
4161,20220124066,4,4,4,3,15,14,11,13,15,12,13,9,7
4162,20220124065,4,4,4,3,15,13,12,11,15,13,12,11,11
4163,20220124064,1,1,4,3,15,13,12,11,15,13,12,11,11
4164,20220124063,1,4,4,2,14,12,12,10,16,13,13,10,13
4165,20220124062,4,4,4,2,13,12,11,11,17,15,12,13,11
4166,20220124061,2,4,4,2,13,12,11,11,17,16,11,15,11
4167,20220124060,1,4,4,3,15,12,13,9,15,14,11,13,10
4168,20220124059,2,2,4,2,13,12,11,11,17,14,13,11,11
4169,20220124058,2,4,4,1,16,12,14,8,14,13,11,12,10
4170,20220124057,1,4,4,1,18,15,13,12,12,11,11,10,9
4171,20220124056,2,4,4,3,15,14,11,13,15,11,14,7,7
4172,20220124055,4,4,4,1,16,12,14,8,14,11,13,8,4
4173,20220124054,1,4,4,1,16,14,12,12,14,12,12,10,9
4174,20220124053,2,4,4,2,14,13,11,12,16,13,13,10,9
4175,20220124052,1,1,4,1,16,12,14,8,14,12,12,10,3
4176,20220124051,1,4,4,3,15,12,13,9,15,11,14,7,4
4177,20220124050,2,4,4,2,14,12,12,10,16,13,13,10,13
4178,20220124049,4,4,4,3,15,11,14,7,15,12,13,9,1
4179,20220124048,4,4,4,3,15,13,12,11,15,13,12,11,11
4180,20220124047,1,4,4,3,15,12,13,9,15,12,13,9,4
4181,20220124046,2,4,4,2,13,10,13,7,17,12,15,7,4
4182,20220124045,1,4,4,1,16,12,14,8,14,13,11,12,10
4183,20220124044,4,4,4,2,13,11,12,9,17,12,15,7,4
4184,20220124043,2,4,4,2,13,11,12,9,17,15,12,13,10
4185,20220124042,1,4,4,3,15,13,12,11,15,15,10,15,11
4186,20220124041,2,4,4,2,12,11,11,10,18,14,14,10,13
4187,20220124040,1,4,4,1,16,11,15,6,14,13,11,12,2
4188,20220124039,4,4,4,3,15,13,12,11,15,12,13,9,7
4189,20220124038,2,4,4,3,15,12,13,9,15,12,13,9,4
4190,20220124037,1,4,4,1,16,13,13,10,14,12,12,10,13
4191,20220124036,2,4,4,2,13,11,12,9,17,12,15,7,4
4192,20220124035,1,1,4,1,17,13,14,9,13,13,10,13,10
4193,20220124034,1,4,4,3,15,12,13,9,15,10,15,5,4
4194,20220124033,4,4,4,2,14,13,11,12,16,14,12,12,11
4195,20220124032,1,4,4,2,14,11,13,8,16,13,13,10,3
4196,20220124031,2,2,4,2,13,10,13,7,17,13,14,9,1
4197,20220124030,2,4,4,1,16,11,15,6,14,12,12,10,3
4198,20220124029,1,1,4,1,19,15,14,11,11,10,11,9,7
4199,20220124028,1,4,4,1,16,15,11,14,14,10,14,6,7
4200,20220124027,2,4,4,2,14,11,13,8,16,11,15,6,4
4201,20220124026,4,4,4,3,15,13,12,11,15,14,11,13,11
4202,20220124025,2,4,4,3,15,13,12,11,15,13,12,11,11
4203,20220124024,1,4,4,1,16,14,12,12,14,13,11,12,11
4204,20220124023,2,4,4,3,15,14,11,13,15,13,12,11,8
4205,20220124022,1,4,4,1,16,13,13,10,14,12,12,10,13
4206,20220124021,2,4,4,3,15,14,11,13,15,13,12,11,8
4207,20220124020,1,4,4,1,17,13,14,9,13,11,12,9,4
4208,20220124019,2,4,4,2,13,12,11,11,17,12,15,7,5
4209,20220124018,4,4,4,2,14,10,14,6,16,13,13,10,3
4210,20220124017,1,4,4,2,14,11,13,8,16,13,13,10,3
4211,20220124016,2,4,4,2,13,11,12,9,17,14,13,11,10
4212,20220124015,1,4,4,1,16,12,14,8,14,13,11,12,10
4213,20220124014,4,4,4,3,15,13,12,11,15,12,13,9,7
4214,20220124013,4,4,4,3,15,13,12,11,15,13,12,11,11
4215,20220124012,2,4,4,3,15,13,12,11,15,13,12,11,11
4216,20220124011,1,1,4,1,16,13,13,10,14,12,12,10,13
4217,20220124010,1,4,4,2,14,12,12,10,16,12,14,8,6
4218,20220124009,2,2,4,2,13,11,12,9,17,14,13,11,10
4219,20220124008,2,4,4,2,14,11,13,8,16,14,12,12,10
4220,20220124007,1,4,4,3,15,13,12,11,15,14,11,13,11
4221,20220124006,2,2,4,2,13,11,12,9,17,13,14,9,4
4222,20220124005,2,4,4,2,14,11,13,8,16,14,12,12,10
4223,20220124004,4,4,4,3,15,12,13,9,15,13,12,11,10
4224,20220125179,1,1,1,1,19,16,13,13,11,10,11,9,7
4225,20220125178,1,1,1,1,17,16,11,15,13,10,13,7,7
4226,20220125177,1,1,4,3,15,14,11,13,15,12,13,9,7
4227,20220125176,1,4,4,2,14,13,11,12,16,14,12,12,11
4228,20220125175,2,4,4,2,13,12,11,11,17,15,12,13,11
4229,20220125174,1,1,4,1,19,13,16,7,11,11,10,11,2
4230,20220125173,1,4,4,3,15,14,11,13,15,10,15,5,5
4231,20220125172,2,4,4,2,14,12,12,10,16,13,13,10,13
4232,20220125171,4,4,4,3,15,11,14,7,15,12,13,9,1
4233,20220125170,1,4,4,3,15,13,12,11,15,13,12,11,11
4234,20220125169,2,2,4,2,14,12,12,10,16,13,13,10,13
4235,20220125168,2,4,4,3,15,14,11,13,15,15,10,15,11
4236,20220125167,1,4,4,1,17,13,14,9,13,11,12,9,4
4237,20220125166,4,4,4,3,15,14,11,13,15,12,13,9,7
4238,20220125165,4,4,4,3,15,13,12,11,15,13,12,11,11
4239,20220125164,1,4,4,3,15,12,13,9,15,12,13,9,4
4240,20220125163,4,4,4,2,14,13,11,12,16,14,12,12,11
4241,20220125162,2,4,4,2,14,11,13,8,16,13,13,10,3
4242,20220125161,1,4,4,3,15,12,13,9,15,13,12,11,10
4243,20220125160,2,4,4,2,14,11,13,8,16,12,14,8,4
4244,20220125159,1,4,4,1,16,14,12,12,14,14,10,14,11
4245,20220125158,2,4,4,3,15,11,14,7,15,10,15,5,4
4246,20220125157,1,4,4,1,17,15,12,13,13,13,10,13,11
4247,20220125156,2,4,4,3,15,14,11,13,15,12,13,9,7
4248,20220125155,4,4,4,1,16,13,13,10,14,12,12,10,13
4249,20220125154,1,4,4,1,16,16,10,16,14,14,10,14,8
4250,20220125153,2,4,4,2,14,11,13,8,16,11,15,6,4
4251,20220125152,1,4,4,1,16,11,15,6,14,11,13,8,1
4252,20220125151,2,2,4,2,13,11,12,9,17,12,15,7,4
4253,20220125150,2,4,4,2,14,11,13,8,16,14,12,12,10
4254,20220125149,1,4,4,3,15,11,14,7,15,12,13,9,1
4255,20220125148,4,4,4,2,12,11,11,10,18,14,14,10,13
4256,20220125147,2,4,4,2,12,10,12,8,18,16,12,14,10
4257,20220125146,1,4,4,3,15,11,14,7,15,14,11,13,10
4258,20220125145,2,4,4,2,14,11,13,8,16,12,14,8,4
4259,20220125144,1,4,4,1,16,12,14,8,14,12,12,10,3
4260,20220125143,4,4,4,3,15,13,12,11,15,12,13,9,7
4261,20220125142,1,4,4,3,15,12,13,9,15,12,13,9,4
4262,20220125141,2,4,4,2,14,12,12,10,16,13,13,10,13
4263,20220125140,1,4,4,1,17,13,14,9,13,12,11,11,10
4264,20220125139,2,4,4,2,13,13,10,13,17,13,14,9,7
4265,20220125138,4,4,4,3,15,12,13,9,15,14,11,13,10
4266,20220125137,1,4,4,3,15,12,13,9,15,12,13,9,4
4267,20220125136,2,4,4,2,14,12,12,10,16,13,13,10,13
4268,20220125135,1,1,4,3,15,11,14,7,15,12,13,9,1
4269,20220125134,1,4,4,2,14,13,11,12,16,14,12,12,11
4270,20220125133,4,4,4,2,12,12,10,12,18,16,12,14,11
4271,20220125132,2,4,4,2,12,10,12,8,18,16,12,14,10
4272,20220125131,1,1,1,1,16,10,16,4,14,12,12,10,3
4273,20220125130,1,1,4,3,15,15,10,15,15,14,11,13,8
4274,20220125129,1,4,4,2,14,13,11,12,16,14,12,12,11
4275,20220125128,2,4,4,2,13,11,12,9,17,14,13,11,10
4276,20220125127,4,4,4,2,14,12,12,10,16,15,11,14,12
4277,20220125126,2,4,4,2,14,12,12,10,16,14,12,12,12
4278,20220125125,1,4,4,1,16,14,12,12,14,14,10,14,11
4279,20220125124,2,4,4,3,15,12,13,9,15,11,14,7,4
4280,20220125123,1,4,4,1,18,13,15,8,12,10,12,8,4
4281,20220125122,4,4,4,3,15,14,11,13,15,11,14,7,7
4282,20220125121,2,4,4,3,15,12,13,9,15,12,13,9,4
4283,20220125120,1,4,4,1,16,14,12,12,14,13,11,12,11
4284,20220125119,2,2,4,2,13,12,11,11,17,13,14,9,7
4285,20220125118,2,4,4,1,16,12,14,8,14,13,11,12,10
4286,20220125117,1,4,4,1,18,14,14,10,12,10,12,8,6
4287,20220125116,4,4,4,1,17,15,12,13,13,10,13,7,7
4288,20220125115,1,4,4,1,17,14,13,11,13,10,13,7,5
4289,20220125114,4,4,4,1,16,14,12,12,14,11,13,8,7
4290,20220125113,1,4,4,1,16,15,11,14,14,13,11,12,8
4291,20220125112,2,4,4,2,14,14,10,14,16,14,12,12,8
4292,20220125111,1,4,4,1,20,14,16,8,10,10,10,10,3
4293,20220125110,2,4,4,3,15,15,10,15,15,10,15,5,7
4294,20220125109,1,4,4,1,16,12,14,8,14,11,13,8,4
4295,20220125108,2,4,4,2,13,12,11,11,17,13,14,9,7
4296,20220125107,4,4,4,2,14,11,13,8,16,14,12,12,10
4297,20220125106,4,4,4,2,14,12,12,10,16,14,12,12,12
4298,20220125105,1,4,4,2,14,10,14,6,16,12,14,8,1
4299,20220125104,2,4,4,2,13,11,12,9,17,14,13,11,10
4300,20220125103,1,1,4,1,19,13,16,7,11,11,10,11,2
4301,20220125102,1,4,4,1,16,16,10,16,14,11,13,8,7
4302,20220125101,2,4,4,2,14,13,11,12,16,13,13,10,9
4303,20220125100,4,4,4,1,16,13,13,10,14,13,11,12,12
4304,20220125099,4,4,4,1,16,14,12,12,14,12,12,10,9
4305,20220125098,4,4,4,1,16,13,13,10,14,11,13,8,6
4306,20220125097,1,4,4,1,16,13,13,10,14,11,13,8,6
4307,20220125096,2,4,4,2,13,13,10,13,17,14,13,11,8
4308,20220125095,1,4,4,1,17,12,15,7,13,12,11,11,2
4309,20220125094,2,2,4,2,14,14,10,14,16,13,13,10,9
4310,20220125093,2,4,4,3,15,12,13,9,15,13,12,11,10
4311,20220125092,1,4,4,1,17,14,13,11,13,12,11,11,11
4312,20220125091,2,4,4,2,13,13,10,13,17,13,14,9,7
4313,20220125090,1,1,4,1,18,13,15,8,12,12,10,12,10
4314,20220125089,1,4,4,1,17,16,11,15,13,11,12,9,7
4315,20220125088,2,2,4,2,14,13,11,12,16,12,14,8,7
4316,20220125087,2,4,4,3,15,13,12,11,15,14,11,13,11
4317,20220125086,1,4,4,1,16,12,14,8,14,11,13,8,4
4318,20220125085,2,4,4,2,14,11,13,8,16,11,15,6,4
4319,20220125084,1,4,4,1,19,14,15,9,11,11,10,11,10
4320,20220125083,2,4,4,2,13,12,11,11,17,10,17,3,5
4321,20220125082,1,4,4,1,17,11,16,5,13,11,12,9,1
4322,20220125081,4,4,4,3,15,13,12,11,15,11,14,7,5
4323,20220125080,4,4,4,3,15,12,13,9,15,12,13,9,4
4324,20220125079,1,4,4,3,15,13,12,11,15,13,12,11,11
4325,20220125078,2,2,4,2,13,11,12,9,17,13,14,9,4
4326,20220125077,2,4,4,3,15,10,15,5,15,12,13,9,1
4327,20220125076,1,1,4,1,17,14,13,11,13,12,11,11,11
4328,20220125075,1,4,4,3,15,12,13,9,15,10,15,5,4
4329,20220125074,2,2,4,2,14,11,13,8,16,12,14,8,4
4330,20220125073,2,4,4,1,16,13,13,10,14,13,11,12,12
4331,20220125072,1,1,1,1,17,15,12,13,13,12,11,11,8
4332,20220125071,1,1,4,3,15,14,11,13,15,12,13,9,7
4333,20220125070,1,4,4,2,14,12,12,10,16,13,13,10,13
4334,20220125069,2,4,4,2,13,10,13,7,17,13,14,9,1
4335,20220125068,1,1,4,1,18,13,15,8,12,12,10,12,10
4336,20220125067,1,4,4,1,17,15,12,13,13,10,13,7,7
4337,20220125066,2,4,4,3,15,13,12,11,15,11,14,7,5
4338,20220125065,1,4,4,1,17,15,12,13,13,13,10,13,11
4339,20220125064,2,4,4,1,16,15,11,14,14,12,12,10,9
4340,20220125063,1,4,4,1,18,15,13,12,12,11,11,10,9
4341,20220125062,2,4,4,2,14,14,10,14,16,12,14,8,7
4342,20220125061,1,1,4,3,15,12,13,9,15,13,12,11,10
4343,20220125060,1,4,4,2,14,12,12,10,16,13,13,10,13
4344,20220125059,2,4,4,2,11,11,10,11,19,16,13,13,11
4345,20220125058,1,4,4,3,15,10,15,5,15,14,11,13,2
4346,20220125057,2,4,4,2,14,12,12,10,16,13,13,10,13
4347,20220125056,1,4,4,1,16,13,13,10,14,13,11,12,12
4348,20220125055,2,2,4,2,11,11,10,11,19,14,15,9,7
4349,20220125054,2,4,4,2,13,10,13,7,17,16,11,15,10
4350,20220125053,1,4,4,1,17,12,15,7,13,12,11,11,2
4351,20220125052,2,2,4,2,13,11,12,9,17,11,16,5,4
4352,20220125051,2,4,4,2,14,11,13,8,16,14,12,12,10
4353,20220125050,1,1,1,1,17,13,14,9,13,12,11,11,10
4354,20220125049,1,1,4,1,16,15,11,14,14,12,12,10,9
4355,20220125048,1,4,4,3,15,13,12,11,15,12,13,9,7
4356,20220125047,2,2,4,2,14,13,11,12,16,14,12,12,11
4357,20220125046,2,4,4,3,15,12,13,9,15,13,12,11,10
4358,20220125045,1,4,4,1,17,12,15,7,13,10,13,7,4
4359,20220125044,2,4,4,2,13,13,10,13,17,13,14,9,7
4360,20220125043,1,4,4,1,16,12,14,8,14,13,11,12,10
4361,20220125042,4,4,4,3,15,14,11,13,15,13,12,11,8
